[2023-11-09T12:18:40Z INFO  prover::utils] Start loading params with degree 20
[2023-11-09T12:18:40Z INFO  prover::utils] load params successfully!
[2023-11-09T12:18:40Z WARN  prover::zkevm::prover] zkevm-prover: chunk_vk.vkey doesn't exist in ./configs
[2023-11-09T12:18:42Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:18:42Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:18:42Z DEBUG hyper::proto::h1::io] parsed 4 headers
[2023-11-09T12:18:42Z DEBUG hyper::proto::h1::conn] incoming body is empty
[2023-11-09T12:18:42Z DEBUG tower_http::trace::make_span] request; method=POST uri=/query_status version=HTTP/1.1
[2023-11-09T12:18:42Z DEBUG tower_http::trace::on_request] started processing request
[2023-11-09T12:18:42Z DEBUG tower_http::trace::on_response] finished processing request latency=0 ms status=200
[2023-11-09T12:18:42Z DEBUG hyper::proto::h1::io] flushed 283 bytes
[2023-11-09T12:18:42Z DEBUG hyper::proto::h1::conn] read eof
[2023-11-09T12:18:44Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:18:44Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:18:46Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:18:46Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:18:48Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:18:48Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:18:49Z DEBUG hyper::proto::h1::io] parsed 4 headers
[2023-11-09T12:18:49Z DEBUG hyper::proto::h1::conn] incoming body is empty
[2023-11-09T12:18:49Z DEBUG tower_http::trace::make_span] request; method=POST uri=/query_status version=HTTP/1.1
[2023-11-09T12:18:49Z DEBUG tower_http::trace::on_request] started processing request
[2023-11-09T12:18:49Z DEBUG tower_http::trace::on_response] finished processing request latency=0 ms status=200
[2023-11-09T12:18:49Z DEBUG hyper::proto::h1::io] flushed 283 bytes
[2023-11-09T12:18:49Z DEBUG hyper::proto::h1::conn] read eof
[2023-11-09T12:18:50Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:18:50Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:18:52Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:18:52Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:18:54Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:18:54Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:18:56Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:18:56Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:18:58Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:18:58Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:00Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:00Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:02Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:02Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:04Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:04Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:06Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:06Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:08Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:08Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:10Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:10Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:12Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:12Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:14Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:14Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:16Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:16Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:18Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:18Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:20Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:20Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:22Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:22Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:24Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:24Z INFO  zkevm_prover::prover] no prove request
[2023-11-09T12:19:26Z INFO  zkevm_prover::prover] starting take request
[2023-11-09T12:19:26Z INFO  zkevm_prover::prover] no prove request
